STREAM VALUE,10TH,EQ,IQ,TOTAL,DATA,STREAM
60,62.05,16.43,14,20.54,868.7,Commerce
100,92,16.58,20,39.25,1840,PCM
100,61.12,16.27,16,26.5,977.92,PCB
60,84.56,16.91,17,20.34,1437.52,Commerce
60,74.23,12.84,9,33.81,668.07,Commerce
100,73.27,14.39,17,21.67,1245.59,PCB
100,70.23,16.57,21,39,1474.83,PCB
100,81.49,16.38,18,39.25,1466.82,PCM
60,74.06,14.04,19,23.45,1407.14,Commerce
100,86.92,16.57,24,38.93,2086.08,PCM
60,77.4,14.98,17,31.66,1315.8,Commerce
60,82.94,15.51,21,35.85,1741.74,Commerce
25,84.5,16.57,21,39.25,1774.5,Arts
25,78.23,15.95,21,34.93,1642.83,Arts
60,59.89,17.77,10,17.8,598.9,Commerce
60,75.79,16.8,17,31.91,1288.43,Commerce
100,78.46,16.87,16,36.3,1255.36,PCB
100,72.57,16.54,11,19.91,798.27,PCB
100,67.59,12.49,0,25.91,0,PCB
100,78.8,15.53,20,28.33,1576,PCM
60,64.87,13.38,0,13.13,0,Commerce
60,74.37,14.39,19,30.36,1413.03,Commerce
100,82.97,15.02,21,39.25,1742.37,PCM
100,83.13,15.87,18,35.46,1496.34,PCB
100,82.04,16.25,19,32.15,1558.76,PCM
100,89.24,17.08,18,39.25,1606.32,PCM
100,81.35,12.45,18,30.15,1464.3,PCM
25,69.2,16.8,19,28.18,1314.8,Arts
60,70.96,12.95,5,23.06,354.8,Commerce
100,76.55,13.78,13,36.85,995.15,PCB
100,86.67,15.52,16,22.75,1386.72,PCB
60,67.48,14.91,8,20.33,539.84,Commerce
25,80.93,17.13,21,38.9,1699.53,Arts
60,59.18,14.81,19,34.68,1124.42,Commerce
25,81.3,15.75,21,26.62,1707.3,Arts
60,80.21,15.91,18,19.41,1443.78,Commerce
60,71.75,18.25,13,39.25,932.75,Commerce
100,78.42,13.92,18,39.25,1411.56,PCM
100,76.6,14.93,7,14.98,536.2,PCB
60,67.78,15.33,18,21.78,1220.04,Commerce
60,83.48,16.44,20,36.38,1669.6,Commerce
100,87.91,16.77,21,39.25,1846.11,PCM
100,67.26,15.93,13,19.78,874.38,PCB
60,60.46,12.34,14,16.96,846.44,Commerce
100,68.6,14.44,3,23.7,205.8,PCB
25,66.88,14.18,19,35.22,1270.72,Arts
25,81.87,15.4,18,27.72,1473.66,Arts
100,81.07,17.79,15,21.99,1216.05,PCM
60,66.13,16.25,6,18.67,396.78,Commerce
60,53.09,18.25,17,27.51,902.53,Commerce
100,87.46,11.04,9,23.22,787.14,PCB
60,84.01,17.33,19,39.25,1596.19,Commerce
100,76.34,12.64,23,33.28,1755.82,PCM
60,77.23,15.59,11,30.05,849.53,Commerce
100,72.66,16.64,4,13,290.64,PCB
100,69.57,14.78,18,30.6,1252.26,PCB
25,76.84,13.39,19,32.61,1459.96,Arts
100,62.98,11.69,14,28.6,881.72,PCB
60,61.95,14.47,21,25.12,1300.95,Commerce
100,78.78,16.77,23,36.87,1811.94,PCB 
100,71.97,16.56,14,30.5,1007.58,PCM
100,86.24,14.11,22,27.19,1897.28,PCM
100,69.26,18.11,22,29.29,1523.72,PCB
60,56.92,13.69,6,19.26,341.52,Commerce
100,66.03,16.09,10,18.65,660.3,PCB
60,67.04,13.58,20,22.95,1340.8,Commerce
100,80.54,14.06,10,33.29,805.4,PCB
100,70.09,13.86,6,30.94,420.54,PCB
25,77.11,14.66,20,34,1542.2,Arts
100,74.82,14.73,10,23.81,748.2,PCB
60,81.13,18.25,12,21.71,973.56,Commerce
100,74.04,15.73,16,33.8,1184.64,PCM
25,78.23,14.79,20,35.34,1564.6,Arts
100,83.27,15.5,24,39.25,1998.48,PCB
100,80.48,14.86,18,24.33,1448.64,PCM
25,63.42,13.47,19,18.2,1204.98,Arts
25,76.67,16.55,16,31.38,1226.72,Arts
100,69.08,15.12,2,29.06,138.16,PCM
100,62.7,17.75,23,35.15,1442.1,PCB
60,61.94,15.35,2,19.77,123.88,Commerce
60,62.4,15.73,14,21.62,873.6,Commerce
60,56.18,13.23,10,24.29,561.8,Commerce
60,79.9,16.92,15,24.9,1198.5,Commerce
100,57.34,12.99,11,22.25,630.74,PCB
60,72.65,16.27,17,25.84,1235.05,Commerce
25,85.58,17.61,22,36.94,1882.76,Arts
100,68,17.55,6,28.45,408,PCB
100,65.58,14.3,12,19.31,786.96,PCM
60,73.49,14.62,15,22.05,1102.35,Commerce
60,59.61,15.58,8,27.57,476.88,Commerce
60,74.81,13.76,8,16.13,598.48,Commerce
100,87.44,15.13,20,27.6,1748.8,PCB
100,70.37,18.25,17,36.52,1196.29,PCB
60,76.53,15.32,23,31.9,1760.19,Commerce
60,82.17,16.77,16,35.24,1314.72,Commerce
25,61.55,17.6,20,33.18,1231,Arts
25,86.41,17.53,20,35.02,1728.2,Arts
100,90.87,18.1,22,28.09,1999.14,PCB
100,91.94,16.93,18,29.29,1654.92,PCB
100,87.98,14.06,18,37.69,1583.64,PCB
25,68.2,17.03,20,35.55,1364,Arts
60,79.11,15.07,23,29.17,1819.53,Commerce
100,83.86,16.37,24,39.25,2012.64,PCB
100,84.2,15.96,21,34.27,1768.2,PCM
60,67.66,17.58,22,34.6,1488.52,Commerce
25,84.36,14.94,24,38,2024.64,Arts
100,74.73,17.5,19,32.44,1419.87,PCB
100,90.52,12.64,17,34.92,1538.84,PCM
100,84.24,14.59,8,32.01,673.92,PCB
100,63.75,15.71,15,21.69,956.25,PCB
60,61.93,15.09,19,32.5,1176.67,Commerce
100,64.07,13.67,15,14.92,961.05,PCM
100,77.27,16.7,12,24.52,927.24,PCB
60,72.19,16.1,16,25.09,1155.04,Commerce
100,76.24,17.51,14,27.28,1067.36,PCB
100,67.99,16.76,19,24.72,1291.81,PCB
100,70.73,15.99,19,37.02,1343.87,PCM
25,70.26,16.73,20,30.53,1405.2,Arts
100,77.76,16.29,18,39.25,1399.68,PCB
25,70.34,14.3,24,37.99,1688.16,Arts
100,72.36,15.38,16,22.14,1157.76,PCB
60,53.4,15.73,18,17.77,961.2,Commerce
100,70.53,13.59,17,27.89,1199.01,PCB
60,49,13.33,12,14.81,588,Commerce
100,77.91,13.43,16,24.97,1246.56,PCM
60,67.87,15.87,20,27.93,1357.4,Commerce
60,65.82,14.23,10,23.82,658.2,Commerce
100,66.48,16.03,20,23.73,1329.6,PCM
100,79.51,15.85,8,22.1,636.08,PCB
100,70.8,15.71,15,15.4,1062,PCB
100,86.42,14.66,18,34.38,1555.56,PCB
60,76.64,12.57,4,14.95,306.56,Commerce
25,80.69,16.78,20,39.25,1613.8,Arts
100,75.95,16.42,18,28.11,1367.1,PCB
60,80.08,17.02,14,17.5,1121.12,Commerce
100,85.09,17.72,19,32.95,1616.71,PCB
60,72.11,16.11,15,18.74,1081.65,Commerce
60,81.69,16.02,24,35.28,1960.56,Commerce
60,73.54,14.48,15,39.25,1103.1,Commerce
100,57.57,13.35,2,23.27,115.14,PCB
100,84.96,17.47,10,24.16,849.6,PCB
60,88.05,17.5,17,39.25,1496.85,Commerce
100,69.17,16.41,21,39.25,1452.57,PCB
100,61.27,13.06,15,28.28,919.05,PCM
60,73.81,15.61,5,32.11,369.05,Commerce
60,62.87,16.1,21,22.56,1320.27,Commerce
60,56.54,16.52,19,22.06,1074.26,Commerce
100,84.88,16.54,19,31.38,1612.72,PCM
100,87.82,16.96,23,39.25,2019.86,PCB
100,85.28,13.42,20,22.01,1705.6,PCM
25,75.96,14.51,23,33.63,1747.08,Arts
100,71.32,12.85,14,23.27,998.48,PCB
60,63.95,15.32,8,26.64,511.6,Commerce
25,87.85,17.19,24,36.23,2108.4,Arts
100,74.77,14.78,17,19.08,1271.09,PCB
100,75.37,15.17,14,17.33,1055.18,PCB
60,72.71,16.1,9,23.27,654.39,Commerce
100,85.2,13.96,21,39.25,1789.2,PCM
60,72.42,12.65,6,15.97,434.52,Commerce
100,86.81,16.41,6,20.54,520.86,PCM
100,68.09,18.13,13,17.93,885.17,PCB
100,79.47,18.25,15,29.85,1192.05,PCB
100,83.2,13.95,20,36.3,1664,PCM
60,75.89,16.51,16,33.64,1214.24,Commerce
100,85.77,13.29,19,27.29,1629.63,PCM
100,78.13,13.6,21,39.25,1640.73,PCM
100,84.25,15.16,19,26.39,1600.75,PCM
100,86.9,15.67,18,29.31,1564.2,PCM
60,65.93,13.71,14,22.98,923.02,Commerce
60,59.27,16.74,16,31.71,948.32,Commerce
60,67.67,14.44,8,20.35,541.36,Commerce
100,55.17,13.94,15,27.45,827.55,PCB
100,59.33,14.31,3,20.36,177.99,PCM
60,80.69,17.68,23,31.51,1855.87,Commerce
60,63.97,18.2,20,21.71,1279.4,Commerce
100,73.75,15.71,13,37.44,958.75,PCB
100,82.72,12.91,21,32.15,1737.12,PCM
100,68.77,13.31,18,22.95,1237.86,PCB
100,70.42,12.75,17,28.59,1197.14,PCB
100,90.92,17.6,23,33.62,2091.16,PCB
100,85.88,16.08,19,26.43,1631.72,PCB
100,66.78,13.66,14,15.49,934.92,PCM
100,79.55,12.56,17,33.9,1352.35,PCM
60,65.41,14.98,14,31.14,915.74,Commerce
60,75.56,17.12,22,28.05,1662.32,Commerce
60,87.02,15.94,18,32.55,1566.36,Commerce
100,74.74,15.97,19,35.16,1420.06,PCM
100,71.11,14.11,22,39.2,1564.42,PCB
60,79.69,18.25,18,29.74,1434.42,Commerce
60,73.96,17.78,8,31.23,591.68,Commerce
60,68.61,16.21,18,35.71,1234.98,Commerce
100,80,16.14,4,27.34,320,PCB
100,72.13,13.98,7,28.45,504.91,PCB
100,70.21,13.04,14,24.62,982.94,PCB
60,66.64,16.02,18,26.07,1199.52,Commerce
25,85.57,16.34,22,39.25,1882.54,Arts
100,73.44,14.36,15,28.06,1101.6,PCB
60,61.8,14.83,16,24.12,988.8,Commerce
100,75.21,15.35,20,24.75,1504.2,PCM
100,81.81,13.87,8,32.24,654.48,PCM
60,71.37,14.24,9,21.66,642.33,Commerce
100,64.35,17.43,15,29.46,965.25,PCB 
100,65.81,15.2,9,24.43,592.29,PCB
100,49.8,16.54,9,19.5,448.2,PCB 
100,67.88,15.59,17,18.04,1153.96,PCM
100,92,16.34,19,32.96,1748,PCM
60,68.19,14.72,20,30.75,1363.8,Commerce
60,86.63,15.9,15,26.63,1299.45,Commerce
60,72.43,15.84,5,29.28,362.15,Commerce
100,76.53,13.45,6,16.38,459.18,PCB
100,69.24,16.03,15,21.82,1038.6,PCB
25,81.66,17.08,22,37.87,1796.52,Arts
100,75.85,14.03,22,39.25,1668.7,PCM
60,69.57,15.48,16,16.51,1113.12,Commerce
100,67.23,17.19,18,32.53,1210.14,PCM
60,65.47,15.16,23,21.8,1505.81,Commerce
100,71.32,16.68,7,21.73,499.24,PCB
100,79.97,13.02,22,35.89,1759.34,PCM
25,75.87,16.53,16,23.41,1213.92,Arts
100,75.91,15.98,21,39.25,1594.11,PCM
100,71.92,14.19,12,28.07,863.04,PCB
100,70.96,17.19,18,27.43,1277.28,PCM
100,89.73,16.54,23,39.25,2063.79,PCM
100,87.17,17.76,18,33.66,1569.06,PCB
100,77.99,15.52,21,31.11,1637.79,PCM
100,63.28,14.39,4,14.34,253.12,PCB
60,71.83,15.03,21,26.85,1508.43,Commerce
60,66.54,17.88,18,25.35,1197.72,Commerce
100,75.14,15.83,18,31.03,1352.52,PCB
60,68.38,15.27,17,22.66,1162.46,Commerce
100,75.73,13.83,22,26.05,1666.06,PCB
100,81.89,15.01,22,39.25,1801.58,PCM
60,76.28,13.78,6,20.57,457.68,Commerce
60,68.81,15.23,21,30.13,1445.01,Commerce
100,77.53,14.49,19,18.55,1473.07,PCB
100,91.78,15.74,11,25.53,1009.58,PCB
100,73.05,16.17,19,39.25,1387.95,PCM
100,78.4,15.27,14,25.85,1097.6,PCM
100,71.84,14.7,22,33.43,1580.48,PCB
60,61.03,16.55,16,24.12,976.48,Commerce
100,61.92,14.52,7,14.68,433.44,PCB
60,78.87,14.15,18,27.83,1419.66,Commerce
60,68.49,16.94,10,30.38,684.9,Commerce
60,59.43,18.25,15,16.65,891.45,Commerce
100,68.49,16.31,0,15.44,0,PCB
100,75.72,14.49,16,31.43,1211.52,PCM
100,73.27,12.76,21,24.97,1538.67,PCB
100,81.09,15.54,16,26.28,1297.44,PCB
100,87.42,16.31,11,36.09,961.62,PCM
100,79.25,17.48,10,23.02,792.5,PCB
100,72.42,14.1,20,24.6,1448.4,PCB
100,73.04,17.36,8,24.38,584.32,PCB
60,56.68,16.36,15,17.25,850.2,Commerce
60,63,18.15,21,27.83,1323,Commerce
60,86.86,13.32,17,39.25,1476.62,Commerce
100,87.36,17.36,20,39.17,1747.2,PCM
100,64.18,14.85,2,27.03,128.36,PCB
100,70.29,16.68,20,26.58,1405.8,PCM
60,76.76,15.16,6,22.44,460.56,Commerce
25,80.25,16.37,24,36.77,1926,Arts
60,61.42,16.4,12,26.3,737.04,Commerce
100,75.75,18.12,18,30.47,1363.5,PCM
60,78.7,13.28,9,26.11,708.3,Commerce
60,87.28,17.27,9,27.36,785.52,Commerce
100,87.52,15.58,22,38.55,1925.44,PCM
100,82.13,15.94,10,26.63,821.3,PCB
100,81.04,17.93,12,20.66,972.48,PCB
60,76.72,16.65,6,19.98,460.32,Commerce
100,62.21,15.51,8,16.86,497.68,PCB
100,88.49,14.34,17,22.77,1504.33,PCB
60,73.94,15.73,23,39.23,1700.62,Commerce
25,75.21,15.51,15,36.02,1128.15,Arts
100,79.4,14.53,13,19.36,1032.2,PCB
100,74.44,17.97,15,31.65,1116.6,PCB
100,75.25,16.35,11,31.57,827.75,PCB
100,87.14,13.72,9,31.34,784.26,PCB
60,67.61,15.28,9,16.62,608.49,Commerce
60,60.49,12.72,17,30.52,1028.33,Commerce
60,63.25,16.09,18,21.1,1138.5,Commerce
100,69.59,12.37,7,30.83,487.13,PCB
60,67.31,15.43,11,31.61,740.41,Commerce
100,81.31,16.47,5,25.84,406.55,PCB
100,61.47,15.92,13,19.32,799.11,PCB
100,73.36,13.58,20,30.14,1467.2,PCB
60,55.09,17.62,9,21.35,495.81,Commerce
60,66.77,14.36,22,28.8,1468.94,Commerce
100,67.99,15.78,20,28.26,1359.8,PCM
100,81.55,13.3,10,27.57,815.5,PCB
100,64,13.5,14,31.2,896,PCM
100,58.3,16.2,0,23.51,0,PCM
60,65.64,15.35,7,22.94,459.48,Commerce
25,72.22,15.59,23,39.25,1661.06,Arts
100,89.94,17.31,18,28.86,1618.92,PCB
100,80.79,16.07,18,23.89,1454.22,PCB
60,83.84,17.94,21,30.92,1760.64,Commerce
100,79.19,15.92,9,30.12,712.71,PCM
25,81.27,17.61,22,39.25,1787.94,Arts
25,69.81,14.16,9,33.74,628.29,Arts
60,66.98,16.74,7,33.62,468.86,Commerce
60,64.04,16.4,12,22.08,768.48,Commerce
60,63.21,15.26,11,32.18,695.31,Commerce
25,84,14.94,18,36.05,1512,Arts
100,77.82,15.68,19,39.25,1478.58,PCM
60,65.63,15.7,15,31.74,984.45,Commerce
60,72.79,17.88,22,27.27,1601.38,Commerce
100,78.07,13.77,19,25.06,1483.33,PCM
100,86.03,15.07,15,34.22,1290.45,PCM
60,66.6,14.08,6,21.66,399.6,Commerce
100,68.31,11.94,21,27.97,1434.51,PCM
100,73.56,13.61,17,22.45,1250.52,PCB
100,80.87,18.25,8,17.21,646.96,PCB
60,73.37,17.66,10,17.54,733.7,Commerce
100,78.06,14.93,6,32.06,468.36,PCM
100,64.27,15.57,9,27.63,578.43,PCB 
60,67.51,12.65,4,23.16,270.04,Commerce
100,81.37,16.84,20,32.31,1627.4,PCB
100,87.22,15.95,11,20.43,959.42,PCB
60,71.4,15.65,11,25.79,785.4,Commerce
25,64.12,14.14,15,36.93,961.8,Arts
100,77.08,13.71,15,26.45,1156.2,PCB
100,82.41,16.99,14,36.34,1153.74,PCB
25,76.14,16.38,21,39.25,1598.94,Arts
100,78.64,14.33,18,36.28,1415.52,PCM
100,79.46,14.78,16,38.99,1271.36,PCM
60,63.47,15.59,7,28.02,444.29,Commerce
60,60.61,15.9,18,27.92,1090.98,Commerce
100,82.54,15.38,8,24.74,660.32,PCB
