10th,12th,IQ ,O,C,E,A,N,STREAM
82.03,81.01,18,67.2,53.6,63.6,80,33.9,PCB
94.94,81.76,22,46.3,51.7,44.4,65.2,56.3,Commerce
92.23,76.12,23,83.2,77.3,55.6,66.8,25.4,Commerce
91.2,74.21,35,57.1,84.1,47.6,80.2,32.8,PCB
97.58,77.8,16,80.6,72.8,66.5,80.5,23,PCB
94.39,77.85,17,55,43.4,45.7,51.5,61.2,PCM
93.93,76.38,30,54.6,57.6,84.8,72.1,24.1,PCB
90.04,84.74,33,52.8,70.5,57.5,85.1,24.5,Commerce
91.06,75.37,24,77.1,58.2,81.1,53,38.3,PCM
95.57,78.11,26,76.5,86.6,75.5,80.1,46.1,PCB
96.59,77.34,9,40,55.7,47.3,76.7,58.3,Commerce
93.5,86.44,6,73,86.7,68.9,75.6,23,Commerce
95.17,80.08,17,40,55,47.7,52.6,33.7,Commerce
96.25,40.64,83,41.3,52.8,28,65.7,27.2,Commerce
97.19,55.74,8,64.1,71.6,53.6,79.2,32.4,Commerce
99.22,79.65,59,79.5,90.2,60.3,83.4,33.8,PCB
95.57,83.1,25,57.3,51.4,70.1,76.4,30.1,PCB
97.75,41.97,47,76.2,72,46.8,71.9,49.9,PCM
84.65,76.15,18,41,68.2,30.1,58.1,49.1,PCM
98.38,88.04,28,60.9,79.2,56.2,70,23,PCM
91.34,77.41,73,53.3,59.8,66.4,69.9,31.6,PCM
93.98,92.09,57,52.4,65.1,32.2,63.4,34.8,Commerce
84.75,75.27,24,50.7,82.9,55.5,68.5,24.8,PCB
93.52,80.37,16,36.2,50.2,34.1,61.6,30.2,PCB
85.79,42.76,53,73.8,78.9,36.7,59.4,51.6,Commerce
77.64,77.64,42,39.2,45.3,45.8,65.1,40.8,PCM
94.43,58.94,5,65.2,55.2,23.4,55.8,42.6,PCB
97.08,76.78,25,77.6,77.7,47.6,70.5,23,Commerce
92.14,77.24,21,78.6,73,86.5,79,32.4,PCB
90.75,76.39,45,57.2,91.5,84.2,92.7,23,PCB
90.4,80.71,29,49.6,38.1,20.9,47.9,37.6,Arts
91.6,81.03,33,63.1,81.5,58.5,64.8,23,PCB
82.95,78.72,19,45.5,51.8,53.1,65.8,23,Commerce
95.39,81.64,24,65,93.2,56.8,62.2,31.9,PCB
99.22,81.19,12,72.6,86.2,56.7,74.9,23,Arts
90.44,78.43,17,81.6,78.9,76,99,23,Commerce
97.95,46.6,34,42.9,89,50.7,69.7,49.8,Commerce
99.22,76.08,59,57.9,60,54.8,62.1,23,PCM
94.95,78.82,78,51.5,78.4,73.6,66,30,Commerce
90.19,81.96,50,61.7,71,44.2,75.5,61.9,Commerce
95.48,79.24,64,64.9,93.6,56.8,62.1,23,PCB
89.39,76.29,17,63.4,71,57.5,70.4,38.3,PCM
91.16,74.41,47,77.7,22.6,67.7,71.7,25.8,Commerce
86.26,44.45,56,79.6,98,59.3,79,23,PCB
88.08,63.02,17,61.2,40.7,58.5,69.9,28.5,PCB
97.12,78.63,22,80.2,94.2,57.7,65.6,23,PCM
95.48,73.79,28,80.4,80.1,77.4,74.2,23,Commerce
93.82,75.29,61,55.6,67.6,58,85.1,45,Commerce
92.4,78.13,31,57.6,52,49.7,68.1,23,Commerce
88.9,79.42,17,51.6,49.1,43.4,72.6,40,PCM
84.7,77.74,37,78.3,72.7,42.4,74.8,23.9,PCM
97.24,76.2,16,58.4,72.8,44.6,73,55.6,Commerce
89.24,80.65,15,71.1,92.6,77.4,85.7,26.7,Commerce
99.19,75.5,62,56.7,91,50.6,37.4,28.5,PCM
92.74,79.5,11,51.6,98,55.5,84,25.9,PCB
86.87,76.3,14,48.6,94.3,53.2,67,23,Commerce
77.07,76.53,33,79.3,45.5,56.7,65.5,50,Commerce
96.69,79.54,26,59.1,50.3,47.4,75.1,53.5,PCB
98.92,40.74,18,63.8,49.9,48.5,71.7,23,Arts
88.13,73.17,72,94.9,76.1,95,44.3,44.8,PCB
92.25,80.5,31,59.6,53.7,52.1,63.9,29.1,Commerce
86.21,77.68,24,64.2,79,86.9,68.3,23,Commerce
87.85,52.06,15,41.5,53.8,34.2,44.9,43.5,Commerce
99.22,76.43,74,51.1,79.6,60.5,72.4,23,Commerce
93.83,76.63,58,60.5,63.7,37.5,84.3,40.2,Commerce
90.23,77.64,67,48.6,74.6,32.2,73.1,50.5,Arts
90.8,78.47,61,72.8,61.2,57.1,70.5,45,Commerce
91.23,77.51,31,67.4,75.3,61.3,50.3,23,PCB
93.48,75.91,33,76.3,66,68.5,78.4,23,PCB
83.27,76.36,11,52,82.5,59.9,70.8,23,Commerce
91.75,92.1,17,58.6,49.8,63,57.2,45.9,PCM
90.33,62.93,73,80.5,82.7,70.7,64.3,51.7,PCM
99.22,75.76,67,53.4,76.1,66.2,81.6,41.5,PCB
69.62,79.3,20,71,41.3,59.8,52.6,57.2,PCM
74.49,46.12,8,41.3,37.1,40.1,37.1,34.9,PCB
89.86,78.03,85,64.1,63.2,58.9,71.4,51.3,Arts
92.63,74.81,58,88.8,60.3,75.3,57.6,32,Commerce
90.47,78.02,25,63.5,73.5,88.5,61.3,23,Commerce
75.81,74.98,61,61.6,50.7,72.8,57.7,28.9,PCB 
95.37,83.83,61,81.5,67.9,74.9,86.8,23,Commerce
90.68,77.37,31,67.5,83.9,76.4,83.4,45.3,PCM
99.22,80.23,28,72.9,53.8,61.2,66.9,53,Arts
77.97,77.13,18,52.9,97.2,49,61.4,62.3,Commerce
91,79.41,64,78.7,48.6,59,72.9,26.1,PCM
88,53.04,25,54.7,61.4,41.6,79.4,26.5,Commerce
70.79,75.98,48,58.8,74.2,59.3,77.7,36.5,PCM
98.99,77.46,57,58,51.3,63.8,99,31.1,PCM
96.28,77,27,46.9,68.5,45.6,73.8,37.3,PCB
88.33,75.39,77,52.7,67.4,58,43.9,27.3,PCM
92.75,77.74,49,50.1,63.4,46.9,52.5,23,PCB
93.14,78.18,68,43.4,81.7,33.3,76,29.9,Commerce
86.7,82.94,12,48.5,60.1,66,51.8,32.9,PCB
93.74,75.43,37,61,64.9,44.9,78.9,23,Commerce
93.15,81.28,13,50.8,52,56.2,70.3,23.4,PCM
97.29,62.01,9,67.8,82.2,74.6,72.5,28.6,PCM
88.33,74.6,37,71.6,89,77.4,93.2,33.2,Commerce
96.82,82.52,13,56.5,44.7,51.6,70,46.3,Commerce
90.66,78.97,12,89.5,77.2,81,77.5,48.4,PCB
98.08,80.16,20,69.1,56.9,60.2,55.3,28.9,Commerce
99.22,75.34,54,60.1,93.8,57.2,65.5,23,Commerce
93.36,77.41,25,55.7,82.1,73.5,68.6,26.3,PCM
97.85,76.99,19,79.4,75.9,57.1,92.4,31.3,Arts
94.48,81.3,34,71.6,40.8,46.3,52.8,23,PCB
98.31,77.85,29,50.2,62.5,63.9,72.2,26.4,PCM
99.22,75.99,22,51.6,80.5,46,77.4,31.6,PCB
94.73,75.79,35,61.3,77.3,62.4,67,45,Commerce
92.71,76.38,26,65.7,35.8,70.6,88,27.2,PCM
98.53,48.2,21,37.7,48.9,17,71.5,63.2,Commerce
82.2,77.53,26,81.1,79.4,66,52.5,45.2,PCB
96.63,76.93,13,78.2,55.6,42.6,54.9,39.8,Commerce
92.33,83.82,28,96.6,81.3,58,59.1,27,PCM
84.16,77.02,60,45.8,76.8,83.8,79.9,26.3,Commerce
91.42,78.96,80,48.5,79.8,53.2,55.5,26.4,Commerce
91.4,83.87,19,55.3,87.6,35.2,55.1,32.9,PCB
65,76.15,30,48.6,69.2,42.7,72.6,26.3,PCM
96.39,80.1,3,52,52.1,49.9,84.5,36.2,PCB
85.26,77.14,59,63.9,53,65.1,70.3,37.4,Commerce
92.26,84.75,3,51.3,52.3,23.6,57.3,35.7,PCB
98.73,76.52,67,70.6,70,48.4,68.3,26.3,PCB
78.68,76.85,24,61.6,65.3,48.1,40.9,44.8,PCB
98.61,42.42,77,46.2,57.7,69.2,98,39,PCB
94.27,74.32,14,59.6,77.3,97,64.6,23,Commerce
88.25,76.83,70,83.4,73.1,67.7,71.3,35.5,PCB
97.6,77.1,31,69.9,48.9,88.4,50.7,39.3,PCB
93.32,76.92,28,68.7,79.5,54.9,81,33.5,PCM
91.29,81.35,51,49.2,74.9,63.6,68.9,23,Commerce
94.14,75.49,28,74.5,53.9,69.1,78.3,31.2,Arts
98.84,75.74,47,52,61.8,56.5,62.4,26.1,PCB
95.88,63.32,62,57.3,78.7,42.5,80.9,35.3,PCB
92.51,77.52,19,66.6,47.3,74.4,69.6,29.4,PCM
88.3,78.61,76,64.9,87,59.4,44.3,43.2,PCM
88.42,54.5,10,55.8,62.9,42.8,44.4,73.2,PCM
95.16,75.96,15,73.8,87.6,65.8,73.5,35,Commerce
94.21,75.39,69,58.7,46.1,54.1,52.9,41.1,Commerce
94.56,77.79,71,54.9,45.7,56.4,81.3,30.2,PCB
91.34,76.41,24,54.2,88.2,52.9,79.8,39,Commerce
95,77.83,17,52.5,71.9,43.4,73.9,58.1,PCM
96.24,80.64,79,69.6,47,62.2,67.9,31.7,Commerce
91.3,77.12,52,42.7,76.3,34.1,59.4,44.2,PCB
89.03,44.72,43,45.6,51.3,30.5,60.1,46.4,Arts
93.82,79.01,83,83.4,89.9,67.7,95.3,24.4,PCB
92.89,77.75,27,64.3,60.4,61.9,84.2,35.6,PCB
76.8,40,14,57.6,49.5,54,47.8,50.8,PCM
90.92,85.64,20,85.5,50.3,55.6,81.8,37.6,PCB
99.16,78.33,19,56.9,52.2,37,62.4,29.7,PCM
87.05,77.47,20,81,81.1,53.5,77.3,30.2,Commerce
92.57,77.49,62,53,52.7,56,60,53.4,Commerce
98.28,78.58,47,53.6,61.3,43.5,80.4,23,Commerce
84.14,80.27,20,41.7,48.9,26.9,46.4,81,PCM
96.13,80.1,58,67.6,96.7,66.3,45.9,23,Commerce
93.69,78.3,13,39.9,63.3,33.7,85.1,40.4,PCB
94.37,51.41,68,61.3,98,54.6,70.3,23,Commerce
92.79,76.68,24,72.8,80.7,63.2,48.8,23,PCB
81.22,76.96,14,58.7,76.8,44.5,65.2,35.1,PCB
90.24,78.29,6,48.8,65.9,48.7,72.4,23,Arts
96.49,81.08,23,70.5,74.5,68.2,78.6,45,Commerce
91.35,78.89,17,48.7,53.3,58.5,81.6,23,PCM
91.26,81.8,24,56.9,56.7,46.9,56,52,PCB
93.5,52.16,5,51.1,75.5,49.5,56.6,47.5,Commerce
98.37,77.16,61,48.6,82.6,72.6,77.9,32.1,Commerce
89.32,77.99,29,37.3,51.9,47.1,67,40.6,PCB
65,76.76,31,56.1,68.1,78.6,67.8,23,PCB
93.66,78.27,32,78.4,83.6,71.2,72.8,37.9,PCM
92.94,77.83,69,75.4,89.7,62.3,68.7,23,Commerce
87.12,49.42,16,83.7,49.7,88.7,42.6,40.4,PCM
98.99,74.74,69,53.1,88,39.5,82.4,23,Commerce
87.77,78.09,71,64.9,66.5,72.7,71.7,29.8,Commerce
95.64,76.42,25,81.8,73.8,60,86.3,37.4,Arts
95.42,76.49,25,53.1,60,29,61.3,31.9,Arts
76.38,80.44,45,57.7,56.9,23.9,59.4,32.9,Commerce
94.33,79.56,62,61.5,82.6,71.2,75.2,23,Commerce
90.98,74.61,58,51.3,41.1,52.1,45.7,25.8,PCB
92.7,77.91,26,66.3,82,77.2,71.5,23,PCB
99.22,78.82,21,56.9,80.1,57.4,64.6,27.6,PCB
93.37,85.87,33,49,86.4,86,80.5,23.8,PCM
90.25,40.46,5,52.2,35.2,40.4,56,64.2,Commerce
92.36,40,59,54.3,62.3,61.6,58.4,37.6,Commerce
93.82,79.58,33,63.8,55.5,57.1,55.9,36.8,PCM
92.8,76.77,20,79.9,72.6,57.2,78.3,47.9,PCB
89.47,74.08,81,78.5,88.3,58.2,72.9,37.4,PCM
86.38,77.9,5,80.9,66.5,67.7,89.3,34.6,PCM
98.95,80.23,48,61.4,79,46.8,81.8,45.9,PCM
90.26,51.34,5,42.2,59.3,60.7,68,53.7,Arts
85.41,78.01,68,58.6,53,67.1,75.4,28,Commerce
96.24,79.92,39,54.7,64.6,32.1,48.4,38.8,PCB
97.48,78.3,27,36.1,73.6,54.7,51,23,PCB
96.01,76.29,25,62.1,85.9,83.6,66.3,23,Commerce
75.97,76.18,22,64.8,65.5,43.8,82.5,23,Arts
88.74,91.16,66,66.2,57.2,37.1,69.3,31.8,Commerce
90.7,76.54,68,75.3,77.3,60.8,73.9,31.6,Arts
92.84,78.06,17,53.4,53.5,34.3,79.8,60.7,Commerce
92.86,78.87,45,78.1,85.5,57.1,85.7,23,Commerce
89.68,76.37,20,56,48.1,66.9,77.2,23,PCM
84.91,79.48,25,59,59.8,57.2,77.1,28.9,PCB
93.05,40,24,62.3,46.6,43.3,50.2,47.3,Commerce
83.84,76.15,14,58.1,75.1,75.7,55.4,42.8,Commerce
95.01,74.87,48,41.9,55.9,81.2,73.1,23,PCM
89.12,78.17,20,44.8,72,64.5,48.7,36.2,PCB
88.54,76.4,31,76.5,91,42.3,76.5,33.4,Commerce
93.03,77.99,11,90.8,70.8,39.4,46.6,30,PCB
92.24,77.28,27,62.5,86.3,68.2,86,23,Arts
84.6,76.91,45,67.1,72.8,53.3,76.9,23.4,Arts
84.38,77.2,22,63.2,76.3,75.1,71.5,23,PCM
82.84,78.05,42,40.6,68,42.1,76,47.1,Commerce
92.71,81.1,22,43.3,50,47.2,52.7,41.6,Commerce
80.35,76.91,51,71.1,67.4,69.9,66.4,32.7,PCB
93.26,77.71,20,72.7,71.2,58.5,72.2,56.5,Commerce
91.44,75.45,18,69.4,80.8,60.7,74.5,23,PCM
90.74,75.82,24,49.6,76.7,49.4,58,36.8,Commerce
85.28,76.77,3,51.6,87.3,57.7,46.8,23,PCB
89.44,78.87,62,61.8,64,45.9,41.3,39.4,PCB
95.24,64.86,26,51.8,38.6,39,69.6,41.5,Arts
79.11,77.26,53,50.1,47.8,43.3,57.1,24.8,PCB
90.09,78.65,22,43.3,76.4,61.2,57.2,30.4,Commerce
89.56,76.55,66,47.9,77.6,77.8,58.5,23,PCB 
94.84,76.95,23,59.9,51,50.6,58.7,23,PCM
94.39,45.28,15,53.7,86.9,33.7,82.4,26.7,PCM
94.17,76.36,17,59.3,78.6,78,66.7,34.3,PCB
94.76,77.16,15,57.4,52.3,47,61.9,37.8,Commerce
86.09,75.8,23,62.3,73.3,55.8,74.5,24.9,PCB
91.02,76.5,49,93.6,66,55.4,64.2,46.7,Commerce
91.71,77.78,9,68.6,62.4,56.3,75.1,38.8,PCB
91.2,77.63,7,59,80.3,39.7,61.8,48.1,PCB
93,77.38,26,60.9,47.4,41.4,51.9,27.7,Arts
94.52,81.38,15,60.1,66.9,37.8,57.4,25.8,PCB
96.28,76.29,4,47.7,49,54.3,67.7,29.9,Commerce
91.9,79.06,72,61.2,97.2,81.1,77.2,23,PCM
90.51,78.06,11,54.1,86,63.9,75.4,25.6,Arts
94.96,75.18,8,49.9,44.4,38.1,73.3,49.1,PCB
97.56,77.13,18,56.4,48.2,57.3,58.5,30,PCM
96.05,79.06,75,57.7,85.3,74.1,79.8,31.9,Arts
83.43,75.66,63,57.6,23.8,54.9,79.1,23,Arts
89.97,75.91,60,54.7,60.9,62.3,61,23,PCM
93.29,73.63,36,90.7,75.6,79.5,66.8,28.4,PCB
90.59,75.88,4,52.4,67.3,68.4,83.1,33.9,Commerce
85.63,50.21,40,40.5,51,19.9,73.2,33.3,Commerce
98.32,75.53,76,61.9,75.2,60.4,56.2,36.1,Commerce
94.08,81.2,54,64.2,48.4,62.5,48.4,39.2,Commerce
87.04,76.95,57,72.9,66.9,51.6,56.9,23,PCB
94.16,47.04,12,58.1,59.3,52.2,73.3,42.5,Commerce
94.3,79.96,46,74,52.8,65.4,73.1,25.5,Arts
92.61,79.47,6,63.4,79.4,64.4,96.8,23,PCB
92.52,61.8,24,83.5,50.7,52.1,64.5,48.6,PCM
92.06,77.04,32,69.3,74.4,58.3,82.7,31.2,Commerce
95.84,55.87,16,50.8,48.2,34.2,57.1,31.5,Commerce
86.58,80.96,12,35.1,50.6,58.5,57.8,40.6,Commerce
87.18,52.13,67,52.3,57,58,67.8,28.1,PCB
67.61,75.28,14,73.5,74.1,70.4,66.4,40.9,PCB
92.15,80.16,19,46.1,51.3,41.7,54.6,35.9,Commerce
87.22,79.48,32,66.2,82.9,53.8,87.5,40.4,Commerce
89.84,74.27,24,55.4,66.5,47.9,73.8,34,Arts
74.78,76.98,36,83.1,76.6,49.7,66.5,37.7,Arts
99.22,49.05,63,91.8,55.3,89.9,90.1,42.1,PCB
73.44,76.8,4,43.7,74,38.5,44.4,27.1,PCB
92.48,77.87,64,68.4,80.7,68.3,82,29.3,PCB
97.3,76.45,71,62.7,44.7,40.8,56.4,59,Arts
75.69,78.08,72,64,57.2,49.3,73,26.6,Commerce
91.58,40,56,68,98,67.7,99,23,PCB
88.31,40,13,56.9,72.7,61.3,43.5,43.4,PCM
93.24,77.06,64,57.1,77.1,80.1,75.1,45.5,Commerce
93,76.54,54,65.4,80.9,73.2,77.6,46,Arts
85.52,76.18,20,46.3,49.1,55.5,50.4,54.3,PCB
95.75,79.51,38,72.8,62.3,53.2,90.1,44.3,PCM
95.73,77.67,73,70.4,80.5,54.4,64.4,31.4,PCB
94.09,75.96,18,79.5,95.1,77.4,64.2,33.1,PCB
89.23,75.9,21,82.3,82.9,51.8,75.2,24.3,Commerce
94.39,77.45,16,68.1,83.1,83.3,63.2,50.5,PCM
91.83,78.78,16,63.8,47.4,40.7,45,25.9,PCB
91.59,77.51,6,45.8,46.7,48.3,87.3,38,Commerce
89.66,80.85,56,65,68.6,55.6,57,28.9,PCB
92.08,79.9,22,68.3,71.7,70,69.6,38.1,PCB
93.73,91.99,20,60.7,72.5,47.7,69.3,27.2,PCM
86.68,77.92,13,75.7,57.9,42.8,82.1,26.3,Arts
88.19,78.19,3,51.8,52.5,47.5,43,26.8,PCB
91.05,62.92,44,60.9,47.5,53.9,57.8,48.2,Arts
80.45,78.29,13,60.2,49.8,60.3,60.1,42.4,PCB
99.22,80.82,32,85,52.5,65.7,84.3,23,Commerce
87.69,81.11,15,59.2,45.8,65.4,44,45.3,PCB
96.65,77.45,38,66.4,49.8,78.8,74.1,47.9,Commerce
95.64,79.66,15,46.7,76.3,41.4,77.9,25,PCM
89.32,76.56,37,83.4,73.2,63.5,72.8,38.4,Commerce
90.85,76.3,22,53.6,45.6,78.9,58.9,29.3,Commerce
96.96,74.72,34,59.5,98,57.8,81.2,28.9,PCM
92.59,78.87,65,91.1,72.3,78.1,81.8,23,PCB
91.41,75.04,32,67.7,87.2,54.4,55.2,32.3,PCB
89.45,77.51,18,37.6,67.2,35,46,23,PCB
92.83,82.65,11,49.9,53.6,42.6,84.6,49.9,Commerce
95.34,83.25,56,81.3,52.5,72.1,66.2,24.4,Arts
93.84,77.92,6,75.7,75.5,56.4,71.5,42.1,PCB
96.16,82.64,53,49.6,53.3,41.2,77.6,41.2,Commerce
73.53,76.1,15,54.6,74.9,36.9,47.2,23.4,PCB
92.7,78.09,18,55.1,78.2,53.4,75.2,33.7,Commerce
99.15,78.94,3,46.8,77.3,67.9,59.8,55.3,Commerce
94.07,80.74,8,56.4,84.8,79,47.6,24.4,Commerce
83.19,81.29,45,57.4,73.5,43.4,45.7,62.8,PCB
96.91,79.96,30,46.4,57.5,35.7,56.6,47.3,PCB
89.72,77.98,22,45.9,88.3,39.6,80.9,51.4,Commerce
90.88,82.28,19,61.5,95.9,47.1,55.8,40.4,PCB
89.14,77.71,34,71.9,49.3,69.4,62.8,33.2,PCM
79.85,76.91,29,84.5,81.2,85.8,97.7,23,Commerce
96.56,78.37,26,62.2,53.2,57.1,53.3,34.1,Commerce
95.76,76.5,77,76.3,71.4,56.4,77.8,34,Commerce
70.97,76.9,13,62,57.7,51.7,87.4,30.9,PCM
89.82,51.25,8,63.3,59.5,72.7,60.3,23,PCB
84.3,81.48,18,57,61.4,52.9,87.5,25.8,PCM
97.01,79.3,22,71.1,83.7,58.8,80.5,30.1,Arts
91.77,82.13,18,51.1,46.6,52.5,58,50.4,PCB
98.45,85.77,70,68.4,90.2,83.1,63.9,27.2,Commerce
93.4,81.72,28,64.2,71.5,60.2,70.8,31.8,Arts
94.04,81.36,8,62.3,54.1,50.7,53.7,32.3,PCB
89.37,77.42,21,73.7,44.6,50.1,79.4,23,PCB
90.73,47.11,26,42.4,73.3,45.2,47.3,26.5,Commerce
91.7,51.79,18,48.7,77.8,74.1,63,38.6,PCM
92.13,78.86,68,36.8,40.7,34.4,66.9,38.9,Commerce
86.55,75.92,63,52,70.1,46.2,56.9,26.7,PCM
79.31,79.9,15,54.8,38,64.9,80.3,56.1,PCB
96.47,77.35,66,69.3,78.2,62.6,85.5,23,PCB
94.9,77.26,15,61.1,81.4,82.6,72.6,27.5,PCM
91.06,75.07,76,94.2,84.9,97,98.7,23,Commerce
89,47.5,50,64.6,70.9,57.8,48.1,42.4,PCM
90.29,79.87,10,81.5,88.8,32.3,79.7,24.6,PCM
95.99,55.66,19,48.8,56.2,37.9,71.6,38.9,PCM
88.88,76.01,25,54.3,23.9,43.6,51.9,62.2,PCM
84.35,79.81,16,47.2,70.5,25.6,63.4,52.1,Commerce
90.28,55.9,44,54.8,72.7,43,63.7,25.6,Commerce
86.06,80.29,48,47.4,82.1,37.9,57.7,45.7,Commerce
94.05,83.34,25,42,58.6,34.1,58.1,28,PCB
99.22,77.1,19,55.6,51.9,53.1,72.8,30.6,PCM
99.22,79.04,3,50,47.2,28.5,63.4,35.7,Commerce
88.28,84.98,26,60.9,54.6,66.2,57.1,25.4,Commerce
97.71,78.76,27,57.1,77.3,51.4,56.1,35,PCB
92.67,75.67,79,46,67.9,82.4,64.2,29.7,PCM
81.22,77.08,84,60.9,83,63.1,79.3,40.8,PCB
87.85,76.51,28,49.4,73.5,75.1,48.1,24.2,PCB
76.5,77.69,32,60.6,98,53,70.7,54.6,PCB
72.97,80.04,72,53.3,86.9,62.8,79.2,37.4,PCB
86.86,82.69,77,78.5,78.4,71.8,64.6,40.9,PCM
75.98,79.54,59,53,71,70.9,68.3,27.8,PCM
78.56,75.41,23,49.1,80.5,67.3,51.8,23,Commerce
93.57,76.99,24,65.8,58.4,48.8,71.6,31.1,Commerce
86.09,80.93,10,38.4,49.9,48,48.2,50.5,Commerce
90.68,77.8,10,65.4,66,65.1,75.9,26.8,PCM
91.81,76.69,14,58.6,76.2,45.8,68.1,25.5,PCB
94.73,79.02,27,90.2,75.8,59.9,92.8,53,Commerce
